Progeny Sire Dam Phen
313 9 73 +1.285593
314 20 21 +1.152049
315 20 116 -0.195623
316 20 75 +2.787718
317 20 53 -0.714130
318 20 22 +0.789260
319 8 170 -0.796869
320 8 76 +0.521287
321 8 63 -1.012355
322 8 139 +0.230426
323 8 66 -0.891220
324 5 82 +0.551352
325 5 60 +0.401845
326 5 48 +0.962268
327 5 61 +2.478330
328 5 30 +0.537301
329 18 76 -1.826844
330 18 76 +1.303347
331 18 30 -1.431434
332 18 38 -0.354727
333 18 299 -0.636549
334 18 273 +0.682021
335 243 305 -1.399573
336 243 62 +0.993816
337 243 97 +0.097104
338 243 72 -1.967419
339 243 244 -0.454644
340 231 82 +0.398176
341 231 63 +0.475388
342 231 33 +2.060542
343 231 21 +1.128337
344 231 292 +1.401223
345 136 134 -1.737291
346 136 116 -1.215909
347 136 124 -2.845268
348 136 157 -0.923255
349 136 260 +0.428981
350 313 218 -0.830965
351 313 115 -0.208417
352 313 115 -2.451105
353 313 217 -1.413321
354 313 58 -0.682633
355 313 100 +0.497190
356 165 170 +1.343410
357 165 86 -0.275329
358 165 86 +0.332352
359 165 87 +0.300945
360 165 109 +0.939763
361 165 80 +0.819796
362 2 54 +1.478055
363 2 215 +1.782884
364 2 43 -0.817725
365 2 240 +0.575374
366 2 315 +1.689024
367 10 223 -0.040942
368 10 39 -2.638346
369 10 318 +1.842022
370 10 141 +1.627636
371 10 49 -1.254879
372 293 71 -1.567331
373 293 73 -0.004960
374 293 119 +1.015112
375 293 24 +0.129548
376 293 300 -0.751169
377 311 118 -1.740224
378 311 47 -1.900400
379 311 23 -0.512217
380 311 131 +0.171866
381 311 69 -1.166251
382 5 99 -0.476656
383 5 29 +1.861873
384 5 60 +0.802534
385 5 312 +1.719937
386 5 94 +1.507827
387 5 94 +0.163524
388 201 57 -0.485469
389 201 32 +0.110176
390 201 255 -0.212628
391 201 326 -0.741567
392 201 25 +0.746499
393 164 139 +0.843442
394 164 68 +0.543409
395 164 48 -0.908771
396 164 114 +0.258707
397 164 200 -0.070147
398 211 182 -0.685526
399 211 103 -1.322108
400 211 210 +0.864259
401 211 26 +1.097187
402 211 95 -0.366393
403 203 104 +0.473430
404 203 46 -1.741126
405 203 66 -0.910736
406 203 85 -0.947803
407 203 41 -0.881306
408 239 127 +0.029518
409 239 317 -1.640989
410 239 197 -0.056795
411 239 61 -0.718095
412 239 254 -0.105996
413 174 163 -0.309454
414 174 288 +1.173842
415 174 314 +0.419711
416 174 233 -0.857608
417 174 233 +0.519039
418 174 59 -0.545909
419 301 93 +0.684299
420 301 250 +0.288642
421 301 83 +0.943634
422 301 31 +0.192647
423 301 75 +2.505434
424 198 34 +2.075132
425 198 242 -0.744628
426 198 67 +0.486218
427 198 128 -0.511131
428 198 22 -0.308959
429 277 42 +0.896384
430 277 162 -1.140401
431 277 90 +1.184740
432 277 186 +1.444488
433 277 53 +0.368464
434 293 26 -0.698357
435 293 139 -0.238097
436 293 163 +1.353490
437 293 31 +0.367686
438 293 197 -0.032022
439 374 83 +0.957471
440 374 48 +0.571905
441 374 402 -0.232309
442 374 288 -2.106899
443 374 351 -0.848117
444 311 87 -0.000913
445 311 87 +0.713629
446 311 429 -0.546712
447 311 186 +0.077814
448 311 250 +0.319370
449 311 217 -1.529527
450 136 300 -0.333336
451 136 54 -0.434844
452 136 115 -1.231511
453 136 317 -0.807073
454 136 273 -1.157607
455 239 127 +0.609784
456 239 104 -0.953616
457 239 104 +0.291256
458 239 95 -1.088778
459 239 363 +0.699415
460 239 134 +0.306442
461 301 361 +0.186095
462 301 124 +1.526055
463 301 68 -0.090874
464 301 30 +0.008524
465 301 305 +0.975295
466 313 244 -0.937139
467 313 118 +0.414485
468 313 255 -0.243032
469 313 43 +0.801835
470 313 326 -0.281123
471 352 414 -0.841690
472 352 128 -0.330061
473 352 109 -0.063653
474 352 82 +0.671537
475 352 72 -1.176718
476 277 389 +0.056894
477 277 392 +1.430504
478 277 318 +0.250102
479 277 372 -0.887531
480 277 103 -0.617372
481 379 370 -0.427842
482 379 29 +0.305357
483 379 428 +0.383811
484 379 200 -0.937000
485 379 85 -1.341272
486 423 75 +0.927723
487 423 42 +1.176391
488 423 332 +1.023086
489 423 61 -1.002860
490 423 60 -0.624876
491 174 343 -0.383752
492 174 62 -0.270273
493 174 223 +0.387881
494 174 218 +0.517797
495 174 131 -0.421726
496 401 315 -1.996150
497 401 69 +0.163334
498 401 210 +0.637728
499 401 24 +0.317982
500 401 53 +0.689693
501 376 46 -1.446705
502 376 182 +0.284719
503 376 233 +1.434914
504 376 292 +2.730058
505 376 170 +0.458757
506 355 162 +1.141894
507 355 80 -0.861880
508 355 71 -0.127065
509 355 71 +1.454980
510 355 99 +1.614659
511 355 420 +0.294935
512 403 362 -0.282755
513 403 34 +1.471147
514 403 215 +0.936899
515 403 408 +0.279600
516 403 116 +0.670317
517 231 314 +1.496008
518 231 141 +2.138971
519 231 260 -0.793220
520 231 157 -0.563983
521 231 391 +1.963446
522 243 415 -0.657418
523 243 66 -2.206503
524 243 240 +0.103761
525 243 254 -2.114132
526 243 100 +0.600312
527 165 299 -0.311178
528 165 25 +1.069826
529 165 367 +1.072894
530 165 242 +0.276547
531 165 114 +0.433463
532 211 312 -0.616535
533 211 345 -2.657355
534 211 73 -0.776377
535 211 21 +1.264482
536 211 21 +0.398117
537 211 76 -0.811287
538 301 131 +1.250439
539 301 372 -0.599702
540 301 528 +0.522665
541 301 420 +2.493036
542 301 439 +0.911106
543 526 318 +1.132269
544 526 496 +2.488591
545 526 162 -0.518623
546 526 71 +0.748069
547 526 345 +0.514190
548 463 312 -1.099042
549 463 415 -0.825029
550 463 95 +0.458883
551 463 370 +2.303571
552 463 497 +1.465373
553 503 218 -0.401854
554 503 240 +1.002063
555 503 244 -1.062123
556 503 389 +2.230580
557 503 103 +0.847551
558 464 513 +0.977630
559 464 186 +1.287289
560 464 186 +2.398508
561 464 520 -0.584884
562 464 75 +0.017905
563 464 436 -0.646440
564 401 31 +1.171148
565 401 315 -0.326320
566 401 326 +0.176596
567 401 483 +0.346123
568 401 83 +0.315222
569 355 428 -2.518648
570 355 170 -0.028255
571 355 429 +1.287594
572 355 519 -1.314087
573 355 519 +0.221898
574 355 499 -0.686360
575 277 299 -1.793301
576 277 392 -0.156290
577 277 66 +0.834253
578 277 26 +1.372505
579 277 495 +1.445876
580 423 34 +0.418741
581 423 76 +1.707526
582 423 260 -0.127331
583 423 223 +2.497934
584 423 317 -1.199616
585 447 250 +0.498155
586 447 124 +0.917213
587 447 80 -0.596571
588 447 273 +1.041002
589 447 490 +0.601612
590 352 363 +0.728665
591 352 467 -1.234131
592 352 457 -0.140181
593 352 217 -1.750435
594 352 305 +1.193902
595 379 300 -0.234379
596 379 300 -0.404375
597 379 408 -0.232648
598 379 361 +1.271044
599 379 458 -0.123540
600 379 510 +1.220648
601 374 25 +1.119667
602 374 414 +0.004699
603 374 233 -0.682161
604 374 53 +0.275994
605 374 157 +0.234354
606 403 402 +0.189418
607 403 402 -1.235057
608 403 116 +0.268440
609 403 343 +0.263605
610 403 134 -0.786737
611 403 210 +0.494790
612 455 127 +0.359877
613 455 163 -0.849556
614 455 163 +0.520981
615 455 182 -0.048582
616 455 288 -1.589566
617 455 362 +0.386541
618 465 200 +1.023555
619 465 109 +0.347127
620 465 242 +0.697897
621 465 87 +0.294287
622 465 87 +1.162709
623 465 351 +0.669257
624 231 215 -0.651730
625 231 332 -0.847716
626 231 292 +0.872497
627 231 60 +1.961160
628 231 139 +1.783264
629 487 197 +0.486427
630 487 367 +0.701089
631 487 255 -1.421066
632 487 518 +1.012114
633 487 443 +1.674997
634 313 391 -1.048529
635 313 314 -1.775016
636 313 536 -0.988353
637 313 536 +0.549972
638 313 128 +1.106079
639 313 254 -0.253520
640 376 498 -0.360524
641 376 82 +0.651048
642 376 115 +0.541014
643 376 141 -0.678756
644 376 30 +0.503291
645 642 625 +0.015735
646 642 389 +1.187747
647 642 273 +1.685792
648 642 124 +2.255760
649 642 483 +0.573063
650 639 186 -0.401381
651 639 391 -0.628402
652 639 260 -0.213744
653 639 370 +0.333685
654 639 599 -0.771315
655 487 300 -1.037751
656 487 414 +0.339353
657 487 566 +1.288678
658 487 255 -0.046812
659 487 128 -0.473853
660 526 326 +0.661555
661 526 326 +0.797503
662 526 610 +0.049334
663 526 420 -1.110610
664 526 420 -0.192081
665 526 565 +0.779650
666 526 250 +0.549944
667 641 582 +0.842798
668 641 141 +0.763678
669 641 131 -0.412875
670 641 131 -1.388872
671 641 499 +0.241977
672 641 372 -1.084418
673 464 170 -2.036220
674 464 428 +1.013999
675 464 572 +0.891239
676 464 361 +1.168168
677 464 317 +0.966709
678 581 345 +1.182550
679 581 408 -0.739842
680 581 467 -0.903509
681 581 429 +0.695590
682 581 305 +1.477207
683 376 495 +0.626253
684 376 497 +0.184518
685 376 299 +0.485776
686 376 439 -1.747976
687 376 182 -1.547454
688 376 182 -0.327592
689 557 139 +0.568035
690 557 629 +0.663445
691 557 312 -0.212960
692 557 242 +0.659983
693 557 498 +0.916381
694 463 315 +1.138183
695 463 314 -0.089855
696 463 240 -0.148268
697 463 363 +1.578057
698 463 541 +1.179869
699 569 233 -0.935261
700 569 215 +0.411699
701 569 402 +0.575553
702 569 605 -0.057144
703 569 555 +0.383425
704 465 318 +1.223043
705 465 415 -0.141884
706 465 457 +0.279421
707 465 490 +2.948928
708 465 627 -0.940746
709 455 197 +0.105080
710 455 197 +0.552943
711 455 586 +1.654274
712 455 519 +0.911053
713 455 288 -0.435269
714 455 244 +2.753003
715 548 590 +1.250934
716 548 631 -1.303947
717 548 332 +0.774309
718 548 134 -1.737154
719 548 223 +0.618407
720 447 458 +0.845893
721 447 157 +0.326968
722 447 510 +1.250757
723 447 443 +0.887780
724 447 127 +1.946655
725 585 162 -0.296709
726 585 520 -0.039056
727 585 200 -1.340938
728 585 163 +0.404783
729 585 518 +1.256257
730 423 513 +0.882078
731 423 362 +0.066016
732 423 367 +0.676660
733 423 292 +4.036670
734 423 543 +0.205890
735 403 351 -0.309181
736 403 637 +0.038193
737 403 542 +0.815952
738 403 218 -0.852989
739 403 343 -0.024720
740 352 528 +0.037044
741 352 210 -0.307967
742 352 644 -1.042223
743 352 536 -1.154810
744 352 254 -0.472918
745 352 254 +1.233941
746 503 217 +0.916683
747 503 496 -0.238169
748 503 392 +0.623108
749 503 580 +0.037794
750 503 580 +0.340926
751 503 436 -0.028988
752 585 318 -0.184701
753 585 273 +1.272378
754 585 414 +0.415535
755 585 637 -0.528857
756 585 688 +1.360817
757 666 650 +1.042335
758 666 519 -1.440151
759 666 367 -0.922389
760 666 429 -0.818812
761 666 742 +0.610250
762 557 392 +0.584676
763 557 682 +2.013402
764 557 372 +0.355559
765 557 497 -0.019243
766 557 497 +0.571893
767 557 363 +0.728954
768 736 250 +0.183190
769 736 541 -0.741740
770 736 660 -0.765204
771 736 332 -1.187460
772 736 627 -0.273721
773 464 727 +1.043962
774 464 727 -0.801789
775 464 733 -0.213296
776 464 483 +1.779745
777 464 729 +2.355701
778 464 729 +0.549232
779 464 520 +1.580507
780 649 625 -0.429995
781 649 625 +0.011972
782 649 658 -0.393957
783 649 317 -1.503914
784 649 590 -0.152524
785 649 536 +1.709881
786 686 402 +0.300580
787 686 499 -0.265400
788 686 439 +0.542224
789 686 233 +0.541174
790 686 565 +0.631268
791 642 415 +0.256010
792 642 698 +1.252836
793 642 580 +1.877924
794 642 510 +1.474954
795 642 351 +0.249300
796 641 528 -0.670512
797 641 681 +1.251817
798 641 288 +0.810040
799 641 288 +1.220052
800 641 555 +0.133763
801 641 244 +0.536042
802 639 292 +0.534700
803 639 586 +2.200183
804 639 436 +1.853156
805 639 670 -0.374395
806 639 255 -0.878763
807 487 495 -0.736955
808 487 242 -0.557699
809 487 490 +0.532550
810 487 739 +0.087916
811 487 605 -0.356542
812 503 299 -0.490751
813 503 312 +0.331552
814 503 391 +0.617123
815 503 467 +1.202943
816 503 443 +1.298609
817 693 498 +0.847661
818 693 345 -1.005936
819 693 345 -1.446754
820 693 572 +0.716379
821 693 518 +0.905886
822 693 260 -0.791600
823 581 718 -1.154132
824 581 566 +0.826449
825 581 513 +1.600980
826 581 496 +0.298447
827 581 610 +0.525232
828 708 647 +1.296579
829 708 629 +0.469029
830 708 315 +0.180533
831 708 745 +1.012771
832 708 644 -0.987321
833 654 326 +0.275039
834 654 240 +1.330626
835 654 240 +0.469104
836 654 300 -0.303150
837 654 428 +0.850199
838 654 457 +1.522389
839 569 408 +0.969123
840 569 254 -0.385306
841 569 254 -0.560429
842 569 420 -0.471944
843 569 631 -0.644025
844 569 599 +0.405702
845 548 343 +0.722831
846 548 389 -0.819187
847 548 705 +0.407187
848 548 737 +1.482060
849 548 731 +2.199650
850 722 314 -0.016688
851 722 582 +0.871403
852 722 305 +0.720732
853 722 370 +0.843027
854 722 362 +0.099237
855 447 653 -0.227409
856 447 361 +0.470600
857 447 458 +0.517088
858 447 542 -0.582507
859 447 543 -0.275826
860 654 818 -0.102849
861 654 835 -1.077748
862 654 572 +0.204694
863 654 831 +1.502629
864 654 853 -2.089999
865 827 832 -0.583597
866 827 688 +0.266642
867 827 565 +0.382917
868 827 605 -0.279670
869 827 698 +0.349733
870 811 467 -0.887478
871 811 826 -0.830882
872 811 429 -0.122025
873 811 429 -2.049446
874 811 497 +0.089887
875 811 729 +0.201645
876 802 631 -0.510156
877 802 496 +0.592590
878 802 660 -0.018230
879 802 414 +0.840510
880 802 737 +0.281596
881 693 372 +1.461401
882 693 791 -0.155352
883 693 733 +1.310500
884 693 653 +1.036375
885 693 361 -0.070478
886 686 408 +0.005156
887 686 519 -0.249097
888 686 370 +1.123226
889 686 402 +1.008258
890 686 774 -0.575303
891 581 513 +0.034007
892 581 362 +0.572006
893 581 682 +2.014606
894 581 739 -0.385226
895 581 580 +1.538215
896 722 727 -1.414442
897 722 705 +1.025273
898 722 363 +1.788010
899 722 731 +0.974540
900 722 847 +2.019568
901 642 610 -1.663122
902 642 846 -0.369266
903 642 510 -2.001793
904 642 718 +0.100230
905 642 629 +1.281365
906 666 439 +0.937321
907 666 658 -0.619325
908 666 582 -0.220341
909 666 815 -0.204093
910 666 490 +0.519247
911 856 345 +0.232703
912 856 420 +0.543661
913 856 842 +0.404963
914 856 769 +0.393472
915 856 781 +2.238728
916 856 781 +1.404476
917 799 499 +0.858214
918 799 637 -0.460275
919 799 541 +0.369796
920 799 851 -0.855376
921 799 627 -0.245108
922 649 520 +0.371136
923 649 520 +0.109745
924 649 650 +2.270800
925 649 443 -0.188194
926 649 742 -1.713638
927 649 644 -1.716247
928 786 681 +0.286089
929 786 770 +0.917725
930 786 542 +2.099889
931 786 343 +0.966304
932 786 483 -0.455209
933 585 599 +0.730521
934 585 389 -1.344555
935 585 745 +1.287537
936 585 392 -0.162425
937 585 771 +0.287663
938 736 332 -0.201087
939 736 555 -1.413908
940 736 647 +0.269961
941 736 625 +1.724940
942 736 428 -0.469712
943 794 670 -0.150196
944 794 590 +1.514362
945 794 778 +1.468052
946 794 495 -1.118506
947 794 528 -0.557380
948 708 779 +1.180934
949 708 391 +0.986692
950 708 586 +1.255831
951 708 518 +0.409983
952 708 367 +0.541695
953 557 458 -0.605928
954 557 436 -0.064526
955 557 784 +0.532232
956 557 566 -0.322517
957 557 566 +1.987973
958 557 536 +0.447693
959 854 498 -1.165914
960 854 415 -0.838462
961 854 457 +0.500460
962 854 543 +0.270326
963 854 543 +0.701104
964 854 351 +1.533113
965 935 737 +1.686230
966 935 497 +0.514479
967 935 658 +0.430508
968 935 842 +0.592903
969 935 566 -0.334048
970 794 939 +2.564374
971 794 939 -0.302510
972 794 629 -0.699707
973 794 536 -0.341224
974 794 572 +0.322344
975 794 580 +1.024766
976 891 443 +0.093407
977 891 771 -1.135913
978 891 582 -0.303341
979 891 778 -0.150028
980 891 670 +0.315541
981 856 876 +0.852259
982 856 867 +0.834381
983 856 698 +2.478747
984 856 900 +1.077371
985 856 483 -0.687858
986 666 729 +1.362224
987 666 933 +0.456335
988 666 644 -1.142194
989 666 947 -1.180194
990 666 874 -0.759906
991 786 779 -1.126500
992 786 590 -0.902521
993 786 590 +1.688235
994 786 925 +1.655487
995 786 880 +1.753839
996 786 541 +0.155474
997 736 907 -1.852706
998 736 439 -1.043870
999 736 774 -1.295356
1000 736 520 -0.958896
1001 736 495 -0.635054
1002 649 637 +0.839877
1003 649 832 +1.234128
1004 649 542 -0.461776
1005 649 739 +0.831597
1006 649 499 -0.598351
1007 802 853 +0.754925
1008 802 718 -0.318641
1009 802 815 -1.267537
1010 802 847 +0.579716
1011 802 496 +0.385072
1012 827 742 +1.845683
1013 827 653 -0.144179
1014 827 733 -2.090128
1015 827 625 +0.904042
1016 827 791 -1.171085
1017 864 631 +0.424548
1018 864 631 -0.333564
1019 864 528 -0.076107
1020 864 899 +1.290918
1021 864 660 +0.495329
1022 864 781 -0.591363
1023 882 851 -0.459558
1024 882 818 +1.179494
1025 882 917 +0.459136
1026 882 917 -2.250323
1027 882 846 -0.200235
1028 882 555 +1.171212
1029 882 555 -0.460641
1030 910 610 +0.177442
1031 910 688 +0.540810
1032 910 605 -0.529893
1033 910 650 -0.264872
1034 910 627 -0.010814
1035 902 705 +0.148276
1036 902 467 -0.257654
1037 902 513 -0.393030
1038 902 565 +0.295252
1039 902 458 -1.432735
1040 693 953 -1.256085
1041 693 953 -1.221446
1042 693 490 +0.042606
1043 693 784 -1.020717
1044 693 835 -0.548292
1045 693 519 +1.374043
1046 854 769 -0.520725
1047 854 826 -1.190327
1048 854 457 +2.498424
1049 854 770 -2.710834
1050 854 889 +0.826194
1051 799 831 +0.423074
1052 799 861 +1.489772
1053 799 955 -0.682546
1054 799 681 +2.592924
1055 799 647 -1.098702
1056 920 918 +1.984266
1057 920 745 +1.222637
1058 920 518 -1.559582
1059 920 727 +0.711825
1060 920 586 +0.881221
1061 811 510 -1.449282
1062 811 956 +0.005852
1063 811 543 +0.364586
1064 811 599 -1.052211
1065 811 941 +0.586757
1066 868 436 +0.361933
1067 868 682 -0.002213
1068 868 498 +0.382031
1069 868 731 -0.280814
1070 868 872 +0.546606
1071 1026 742 -0.862293
1072 1026 653 +0.684409
1073 1026 861 -1.290862
1074 1026 688 +2.077923
1075 1026 1064 -0.368514
1076 868 872 -1.393738
1077 868 1069 -0.815960
1078 868 739 -0.482313
1079 868 917 +0.162603
1080 868 784 -1.210851
1081 1049 997 +0.040919
1082 1049 853 -1.449374
1083 1049 990 -2.231939
1084 1049 670 -1.497716
1085 1049 1012 -0.440887
1086 986 953 -0.453872
1087 986 718 +0.398772
1088 986 781 +0.489669
1089 986 989 +0.945372
1090 986 644 +0.479712
1091 794 660 +1.612324
1092 794 774 +0.209712
1093 794 815 +0.627994
1094 794 745 +1.148949
1095 794 631 -0.075431
1096 854 779 +0.867889
1097 854 778 +2.325422
1098 854 939 -0.273870
1099 854 572 -0.309832
1100 854 727 +1.405582
1101 1008 586 +0.472647
1102 1008 566 -0.083526
1103 1008 566 +0.477457
1104 1008 681 -0.314890
1105 1008 769 +0.254847
1106 1008 770 -0.779992
1107 1030 555 +0.901402
1108 1030 555 +1.022255
1109 1030 831 -1.973046
1110 1030 1036 -1.291999
1111 1030 582 -1.195418
1112 1030 1035 +0.341585
1113 920 1010 -0.543130
1114 920 731 +1.343557
1115 920 1013 +0.302599
1116 920 627 +0.592167
1117 920 1028 +1.751699
1118 882 918 +1.044707
1119 882 625 -0.400240
1120 882 835 +0.998774
1121 882 682 +3.367589
1122 882 933 +2.145298
1123 995 610 +2.670176
1124 995 610 +1.117624
1125 995 851 +1.359318
1126 995 541 +1.441972
1127 995 658 +0.437740
1128 995 737 -0.017175
1129 856 985 +2.115087
1130 856 705 +0.188197
1131 856 580 +0.794108
1132 856 1034 +0.932188
1133 856 826 +0.278160
1134 1065 832 +0.895758
1135 1065 647 +0.937000
1136 1065 599 +0.900068
1137 1065 599 -0.025199
1138 1065 876 +0.125677
1139 1065 889 +0.030166
1140 902 955 +1.236353
1141 902 977 +1.450699
1142 902 590 -1.268867
1143 902 867 +0.905979
1144 902 956 +2.131322
1145 971 698 +0.309311
1146 971 605 -0.126189
1147 971 900 -1.175199
1148 971 874 -0.667666
